NewVehicleRef,Timestamp_x,segment_id,HalfHourly,intersections_y,busstops_y,DayOfWeek_y,Holiday_y,BusLane_y,AvgSpeed
MTA NYCT_3887_1,2018-04-12 17:12:05-04:00,2,2,15,5,4,0,True,1.61142180095
MTA NYCT_3887_1,2018-04-07 19:17:49-04:00,3,6,16,6,6,1,False,2.5356561086
MTA NYCT_3887_1,2018-04-09 16:57:04-04:00,3,1,16,6,1,0,True,2.35046728972
MTA NYCT_3887_1,2018-04-10 16:37:12-04:00,3,1,16,6,2,0,True,1.98992740472
MTA NYCT_3887_1,2018-04-11 18:03:05-04:00,3,4,16,6,3,0,True,2.39543820225
MTA NYCT_3887_1,2018-04-12 17:24:26-04:00,3,2,16,6,4,0,True,1.95865168539
MTA NYCT_3887_1,2018-04-09 17:05:14-04:00,4,2,9,1,1,0,True,1.46539156627
MTA NYCT_3887_1,2018-04-10 16:46:56-04:00,4,1,9,1,2,0,True,1.95051181102
MTA NYCT_3887_1,2018-04-11 18:11:01-04:00,4,4,9,1,3,0,True,1.96702341137
MTA NYCT_3887_1,2018-04-12 17:32:54-04:00,4,3,9,1,4,0,True,1.9423183391
MTA NYCT_3887_1,2018-04-09 17:11:18-04:00,5,2,8,3,1,0,True,1.44153846154
MTA NYCT_3887_1,2018-04-10 16:51:41-04:00,5,1,8,3,2,0,True,2.14864253394
MTA NYCT_3887_1,2018-04-11 18:17:04-04:00,5,4,8,3,3,0,True,1.42164912281
MTA NYCT_3887_1,2018-04-12 17:38:13-04:00,5,3,8,3,4,0,True,0.906152219873
MTA NYCT_3887_1,2018-04-07 19:33:48-04:00,6,7,9,3,6,1,False,8.504375
MTA NYCT_3887_1,2018-04-09 17:16:35-04:00,6,2,9,3,1,0,True,1.77810126582
MTA NYCT_3887_1,2018-04-10 16:56:26-04:00,6,1,9,3,2,0,True,1.43217105263
MTA NYCT_3887_1,2018-04-11 18:22:20-04:00,6,4,9,3,3,0,True,1.99481981982
MTA NYCT_3887_1,2018-04-12 17:46:38-04:00,6,3,9,3,4,0,True,2.0165
MTA NYCT_3888_1,2018-04-09 16:08:20-04:00,1,0,11,4,1,0,True,2.23940809969
MTA NYCT_3888_1,2018-04-11 17:13:08-04:00,1,2,11,4,3,0,True,0.527106413994
MTA NYCT_3888_1,2018-04-09 16:14:12-04:00,2,0,15,5,1,0,True,2.39531531532
MTA NYCT_3888_1,2018-04-11 17:36:32-04:00,2,3,15,5,3,0,True,2.25816371681
MTA NYCT_3888_1,2018-04-09 16:22:07-04:00,3,0,16,6,1,0,True,2.01364044944
MTA NYCT_3888_1,2018-04-10 16:01:19-04:00,3,0,16,6,2,0,True,1.75464864865
MTA NYCT_3888_1,2018-04-11 17:44:41-04:00,3,3,16,6,3,0,True,2.16286666667
MTA NYCT_3888_1,2018-04-09 16:30:03-04:00,4,1,9,1,1,0,True,2.46019607843
MTA NYCT_3888_1,2018-04-10 16:08:01-04:00,4,0,9,1,2,0,True,2.52520179372
MTA NYCT_3888_1,2018-04-11 17:52:42-04:00,4,3,9,1,3,0,True,2.67457711443
MTA NYCT_3888_1,2018-04-09 16:34:49-04:00,5,1,8,3,1,0,True,1.72703517588
MTA NYCT_3888_1,2018-04-10 16:12:17-04:00,5,0,8,3,2,0,True,3.1020754717
MTA NYCT_3888_1,2018-04-11 17:57:06-04:00,5,3,8,3,3,0,True,1.65171171171
MTA NYCT_3888_1,2018-04-09 16:38:40-04:00,6,1,9,3,1,0,True,1.68268041237
MTA NYCT_3888_1,2018-04-10 16:16:00-04:00,6,0,9,3,2,0,True,1.6902020202
MTA NYCT_3888_1,2018-04-11 18:01:19-04:00,6,4,9,3,3,0,True,2.18148148148
MTA NYCT_3889_1,2018-04-09 17:39:51-04:00,1,3,11,4,1,0,True,9.10444444444
MTA NYCT_3889_1,2018-04-11 16:44:10-04:00,1,1,11,4,3,0,True,0.589991961415
MTA NYCT_3889_1,2018-04-09 17:42:04-04:00,2,3,15,5,1,0,True,2.57775362319
MTA NYCT_3889_1,2018-04-11 17:05:26-04:00,2,2,15,5,3,0,True,1.7164274571
MTA NYCT_3889_1,2018-04-09 17:49:30-04:00,3,3,16,6,1,0,True,1.96164335664
MTA NYCT_3889_1,2018-04-11 17:17:09-04:00,3,2,16,6,3,0,True,2.03058455115
